student_id,age,gender,gpa,previous_enrollment,hours_studied,parent_education_level,participated_in_extracurriculars,attendance_rate,socioeconomic_status,enrollment_status
ST1000,23,Male,3.28,Yes,21,Master's,No,71,Low,No
ST1001,20,Female,2.17,No,13,Bachelor's,No,79,Low,Yes
ST1002,21,Male,2.32,Yes,37,Bachelor's,No,64,Low,Yes
ST1003,23,Male,3.8,Yes,24,High School,No,96,Medium,No
ST1004,19,Female,3.21,No,17,Bachelor's,Yes,97,High,Yes
ST1005,24,Male,2.02,No,32,Bachelor's,Yes,89,Low,No
ST1006,21,Female,2.2,No,33,Master's,Yes,68,High,No
ST1007,21,Female,3.33,Yes,17,Bachelor's,Yes,93,Low,No
ST1008,23,Female,2.01,No,39,High School,No,94,Low,No
ST1009,18,Male,2.32,Yes,10,Bachelor's,Yes,81,High,Yes
ST1010,19,Male,3.1,Yes,22,Master's,Yes,83,Medium,No
ST1011,23,Male,3.38,Yes,9,Master's,No,76,Low,Yes
ST1012,19,Male,3.3,Yes,29,Bachelor's,Yes,69,Low,Yes
ST1013,19,Male,2.45,No,6,Master's,Yes,89,Low,Yes
ST1014,24,Male,3.42,No,14,High School,Yes,82,High,Yes
ST1015,21,Male,2.47,Yes,34,High School,Yes,91,Medium,Yes
ST1016,20,Female,2.65,Yes,9,Bachelor's,Yes,76,High,Yes
ST1017,24,Male,3.49,Yes,37,Bachelor's,Yes,76,High,Yes
ST1018,24,Female,3.3,No,5,Bachelor's,No,73,Medium,Yes
ST1019,19,Male,3.7,Yes,22,Master's,No,68,High,Yes
ST1020,22,Male,3.32,Yes,36,High School,Yes,99,Medium,Yes
ST1021,21,Male,3.14,No,15,High School,Yes,61,Low,No
ST1022,18,Female,2.19,No,25,Master's,No,84,Medium,No
ST1023,24,Female,2.74,Yes,30,High School,Yes,98,Low,No
ST1024,20,Female,2.53,No,29,Bachelor's,Yes,68,High,Yes
ST1025,22,Female,2.49,No,26,Bachelor's,Yes,81,High,No
ST1026,22,Male,3.95,Yes,31,Bachelor's,No,63,Low,No
ST1027,18,Female,2.79,No,17,High School,Yes,85,High,No
ST1028,24,Male,3.78,Yes,37,Bachelor's,No,88,Medium,Yes
ST1029,20,Male,3.26,No,38,Master's,Yes,93,Low,Yes
ST1030,21,Female,3.59,Yes,39,Master's,No,82,High,Yes
ST1031,17,Female,3.01,Yes,5,High School,No,96,Low,Yes
ST1032,20,Female,3.15,Yes,25,Master's,Yes,70,Medium,No
ST1033,18,Female,2.99,No,10,Master's,No,65,Medium,No
ST1034,22,Female,2.39,Yes,32,High School,Yes,77,High,No
ST1035,21,Female,3.44,No,21,Bachelor's,No,80,Medium,No
ST1036,20,Female,2.56,Yes,9,Bachelor's,Yes,95,Low,Yes
ST1037,17,Female,2.05,Yes,35,Bachelor's,Yes,97,Medium,Yes
ST1038,17,Male,3.29,No,9,High School,No,93,Low,Yes
ST1039,19,Female,2.35,Yes,7,Master's,Yes,76,Low,No
ST1040,19,Female,3.88,Yes,27,Bachelor's,Yes,96,Medium,Yes
ST1041,23,Male,3.91,No,14,Bachelor's,No,84,High,Yes
ST1042,18,Female,3.83,Yes,14,High School,Yes,97,Medium,No
ST1043,24,Male,2.74,Yes,23,Bachelor's,Yes,71,Low,No
ST1044,20,Male,2.03,Yes,21,High School,No,82,Low,Yes
ST1045,20,Female,3.86,Yes,25,Master's,No,81,Medium,Yes
ST1046,24,Male,2.86,No,18,High School,Yes,80,High,Yes
ST1047,23,Male,3.93,No,13,High School,Yes,86,High,Yes
ST1048,22,Male,3.93,Yes,5,High School,No,90,Low,Yes
ST1049,22,Male,3.71,No,17,High School,No,65,Low,Yes
ST1050,23,Female,2.59,Yes,8,Master's,Yes,86,High,No
ST1051,22,Male,2.77,No,5,Master's,No,99,Medium,No
ST1052,19,Female,3.7,Yes,36,Bachelor's,Yes,93,Low,No
ST1053,20,Male,2.63,Yes,38,Master's,Yes,71,Low,Yes
ST1054,23,Male,2.34,Yes,32,Master's,Yes,66,High,No
ST1055,20,Male,3.11,Yes,35,Bachelor's,Yes,69,Medium,Yes
ST1056,24,Male,3.87,Yes,12,Master's,Yes,76,High,Yes
ST1057,17,Female,3.39,Yes,30,High School,No,85,Medium,No
ST1058,19,Female,3.14,No,38,High School,No,80,Medium,Yes
ST1059,21,Male,2.19,Yes,7,Bachelor's,No,87,Medium,Yes
ST1060,19,Male,3.23,No,16,Bachelor's,No,61,Low,No
ST1061,23,Female,3.98,Yes,5,Bachelor's,Yes,60,High,No
ST1062,21,Male,2.28,No,9,High School,Yes,95,High,No
ST1063,17,Male,3.04,No,34,Master's,Yes,85,Medium,Yes
ST1064,23,Male,3.75,No,34,High School,Yes,88,Low,No
ST1065,18,Female,3.48,Yes,21,Bachelor's,No,80,Low,No
ST1066,20,Female,3.39,Yes,27,Master's,Yes,70,High,Yes
ST1067,17,Female,3.4,No,19,Master's,Yes,99,Low,No
